Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
East River Playground,"FDR Drive, East 106 to East 107 streets",Yes,,Manhattan,,40.7887513,-73.93784509999999
East Springfield Playground,115 Road between 218 & 219 streets,Yes,,Queens,,40.7285784,-73.7448869
Eastchester Playground,"Adee Avenue, Tenbroeck Avenue",Yes,,Bronx,,40.86940389999999,-73.8527582
Edenwald Playground,"East 226 Drive, Schieffelin Avenue",Yes,,Bronx,,40.8834859,-73.8453026
Ederle Comfort Station,Flushing Meadows Corona Park,,Yes,Queens,,40.7400275,-73.8406953
Edmonds Playground,"DeKalb Avenue, Adelphi Street",Yes,,Brooklyn,,40.6895466,-73.9711441
Electric Playground,"164 Street, south of 65 Avenue",Yes,,Queens,,40.7343623,-73.8048112
Emerald Playground (PS 200),164 Street between Jewel & 71 avenues,Yes,,Queens,,40.7343623,-73.8048112
Equity Park,"90 Street, 88 & 89 avenues",Yes,,Queens,,40.6900212,-73.8553487
Ethan Allen Playground,New Jersey Avenue & Vermont Street/Worthman,Yes,,Brooklyn,,40.6561936,-73.8866958
Farm Playground,"73 Avenue, 195 Street & 196 Place",Yes,,Queens,,40.7348088,-73.7777589
Fermi Playground,Troutman Street & Central Avenue,Yes,,Brooklyn,,40.70029,-73.929035
Fisher Pool,"32 Avenue, 99 Street",No,,Queens,,40.7590771,-73.8698387
Flushing Fields (Leonardo Ingravallo Playground),"Bayside Avenue, 25 Avenue, 149 to 150 streets",Yes,,Queens,,40.7190036,-73.8121073
Flushing Meadows Corona Park (Albert H. Mauro Playground),Park Drive East & 73 Terrace,Yes,,Queens,,40.7230812,-73.8267229
Flushing Meadows Corona Park (Lawrence Playground),College Point Boulevard and Lawrence Street,Yes,,Queens,,40.7453354,-73.8334255
Flushing Meadows Corona Park (Meadow Lake North),Long Island Expressway to Meadow Lake to Van Wyck Expressway Extension to Grand Central Parkway,Yes,,Queens,,40.7290013,-73.839635
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",Yes,Yes,Queens,,40.7463889,-73.8450676
Flushing Meadows Corona Park (Playground for All Children),111 Street and Corona Avenue,Yes,Yes,Queens,,40.7407916,-73.85005319999999
Hansborough Recreation Center,35 West 134 Street,Yes,,Manhattan,,40.8128918,-73.9394264
Flushing Meadows Corona Park (Worlds Fair Playground),"Grand Central Parkway, Van Wyck Expressway",Yes,,Queens,,40.7007133,-73.8151411
"Flushing Meadows Corona Park (Zoo, Ballfields)",Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children,Yes,Yes,Queens,,40.7413416,-73.8489647
Flynn Playground,"3 Avenue, East 158 Street, Brook Avenue, East 157 Street",Yes,,Bronx,,40.8202734,-73.9118877
Forest Park (Dry Harbour Playground),80 Street & Myrtle Avenue,Yes,,Queens,,40.70297,-73.86824299999999
Forest Park (Jackson Pond Playground),108 Street and Park Lane South,Yes,,Queens,,40.7009114,-73.842163
Forest Park (Seuffert Bandshell),West Main Drive to eastern side of golf course,No,,Queens,,40.7735649,-73.9565551
"Forest Park (Sobelsohn Playground, The Overlook)",Park Lane South and Abingdon Road,Yes,,Queens,,40.70963589999999,-73.834812
Forest Park (Tennis Courts -Forest Parkway),Park Lane South to north of tennis courts,Yes,,Queens,,40.6981762,-73.8495848
Forest Park (The Overlook),Park Lane (to east and south) to Metropolitan Avenue,Yes,,Queens,,40.7123721,-73.8921114
Forest Park (Victory Field),Long Island Railroad to Woodhaven Boulevard. to Myrtle Avenue to 96th Street,Yes,,Queens,,40.7282239,-73.7948516
"Forest Park (Visitor Center, near the Carousel)",Woodhaven Boulevard and Forest Park Drive,Yes,,Queens,,40.7006492,-73.85451359999999
Fort Greene Park,South of Myrtle Avenue to Willoughby Avenue,Yes,,Brooklyn,,40.693901,-73.9489238
Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Yes,Yes,Brooklyn,,40.6934538,-73.97783319999999
Fort Independence Playground,"Stevenson Place, West 238 Street, Sedgwick Avenue",Yes,,Bronx,,40.8818433,-73.89640469999999
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Yes,Yes,Manhattan,,40.8655401,-73.92727289999999
Fort Tryon Park (Café),One Margaret Corbin Drive,No,,Manhattan,,40.8625059,-73.9327062
Fort Tryon Park (The Cloisters),"Riverside Drive to Broadway, West 192 to Dyckman streets",Yes,,Manhattan,,40.8645387,-73.9266358
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Yes,Yes,Manhattan,,40.834891,-73.9377513
Fox Playground,"Avenue H, East 54 to E 55 streets",Yes,Yes,Brooklyn,,40.6238654,-73.9225734
Francis Lewis Playground,3 Avenue and Bronx Whitestone Bridge,Yes,,Queens,,40.802107,-73.8298036
Frank D. O'Connor Playground,Broadway & 78 Street,Yes,,Queens,,40.7449486,-73.887344
Frank Golden Park,"132 to 138 streets, 14 Road",Yes,,Queens,,40.7424164,-73.8278025
